Name,English Name,Latitude,Longitude,Dimension,Feature Type,Dimension Type,Name Origin,Link
Mare Serenitatis,Sea of Serenity,28.0° N,17.5° E,707 km,water feature,diameter,,https://en.wikipedia.org/wiki/Mare_Serenitatis
Mare Smythii,Sea of William Henry Smyth,1.3° N,87.5° E,373 km,water feature,diameter,,https://en.wikipedia.org/wiki/Mare_Smythii
Mare Spumans,Foaming Sea,1.1° N,65.1° E,139 km,water feature,diameter,,https://en.wikipedia.org/wiki/Mare_Spumans
Mare Tranquillitatis,Sea of Tranquility,8.5° N,31.4° E,873 km,water feature,diameter,,https://en.wikipedia.org/wiki/Mare_Tranquillitatis
Mare Undarum,Sea of Waves,6.8° N,68.4° E,243 km,water feature,diameter,,https://en.wikipedia.org/wiki/Mare_Undarum
Mare Vaporum,Sea of Vapors,13.3° N,3.6° E,245 km,water feature,diameter,,https://en.wikipedia.org/wiki/Mare_Vaporum
Oceanus Procellarum,Ocean of Storms,18.4° N,57.4° W,2568 km,water feature,diameter,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
